c_avg_deg_cons,c_avg_dom_cons,c_avg_domdeg_cons,c_bounds_d,c_bounds_r,c_bounds_z,c_cv_deg_cons,c_cv_dom_cons,c_cv_domdeg_cons,c_domain,c_ent_deg_cons,c_ent_dom_cons,c_ent_domdeg_cons,c_logprod_deg_cons,c_logprod_dom_cons,c_max_deg_cons,c_max_dom_cons,c_max_domdeg_cons,c_min_deg_cons,c_min_dom_cons,c_min_domdeg_cons,c_num_cons,c_priority,c_ratio_cons,c_sum_ari_cons,c_sum_dom_cons,c_sum_domdeg_cons,d_array_cons,d_bool_cons,d_bool_vars,d_float_cons,d_float_vars,d_int_cons,d_int_vars,d_ratio_array_cons,d_ratio_bool_cons,d_ratio_bool_vars,d_ratio_float_cons,d_ratio_float_vars,d_ratio_int_cons,d_ratio_int_vars,d_ratio_set_cons,d_ratio_set_vars,d_set_cons,d_set_vars,gc_diff_globs,gc_global_cons,gc_ratio_diff,gc_ratio_globs,o_deg,o_deg_avg,o_deg_cons,o_deg_std,o_dom,o_dom_avg,o_dom_deg,o_dom_std,s_bool_search,s_first_fail,s_goal,s_indomain_max,s_indomain_min,s_input_order,s_int_search,s_labeled_vars,s_other_val,s_other_var,s_set_search,v_avg_deg_vars,v_avg_dom_vars,v_avg_domdeg_vars,v_cv_deg_vars,v_cv_dom_vars,v_cv_domdeg_vars,v_def_vars,v_ent_deg_vars,v_ent_dom_vars,v_ent_domdeg_vars,v_intro_vars,v_logprod_deg_vars,v_logprod_dom_vars,v_max_deg_vars,v_max_dom_vars,v_max_domdeg_vars,v_min_deg_vars,v_min_dom_vars,v_min_domdeg_vars,v_num_aliases,v_num_consts,v_num_vars,v_ratio_bounded,v_ratio_vars,v_sum_deg_vars,v_sum_dom_vars,"v_sum_domdeg_vars

",number_of_teams,fixtures_left,number_of_constraints,runtime,fpoints
2.51613,3.79688,1.4862,0,0,0,0.452257,0.55693,0.329074,0,1.19408,3.08576,1.29649,191.862,268.891,7,12.9248,2.58496,2,2,1,155,0,1.04027,431,588.516,230.362,0,0,60,0,0,94,89,0,0,0.402685,0,0,0.606452,0.597315,0,0,0,0,0,0,-nan,0,0,0,0,-0.84751,1,0.389034,inf,-1.15703,0,0,2,0,0,0,0,0,0,0,0,2.61745,2.57047,1.14126,1.17993,0.528048,0.467839,137,0.909391,1.03912,0.881205,120,170.589,183.654,21,7,3,0,1,0.190476,9,27,149,0.241611,0.96129,390,383,"170.048
",6,1,1,0.02,4
2.52632,3.78693,1.47641,0,0,0,0.458452,0.565681,0.334096,0,1.24871,2.96606,1.30149,188.522,262.559,7,12.9248,2.58496,2,2,1,152,0,1.04828,423,575.613,224.414,0,0,59,0,0,92,86,0,0,0.406897,0,0,0.605263,0.593103,0,0,0,0,0,0,-nan,0,21,7.92969,0.138158,5.88702,10,3.85638,0.47619,5.22852,0,0,2,0,0,0,0,0,0,0,0,2.64828,2.5931,1.14688,1.17711,0.546308,0.470941,134,0.813144,0.975346,0.841637,118,168.174,180.191,21,10,4,0,2,0.190476,9,28,145,0.255172,0.953947,384,376,"166.298
",6,1,1,0.03,6
2.62112,3.92743,1.47171,0,0,0,0.467636,0.570015,0.322129,0,1.27627,2.86907,1.32296,207.507,285.936,7,15.5098,2.58496,2,2,1,161,0,1.04545,449,632.317,236.946,0,0,62,0,0,98,92,0,0,0.402597,0,0,0.608696,0.597403,0,0,0,0,0,0,-nan,0,21,7.66351,0.130435,5.42352,4,1.54,0.190476,1.03827,0,0,2,0,0,0,0,0,0,0,0,2.74026,2.5974,1.14023,1.22863,0.520096,0.447876,142,0.834855,1.00035,0.856472,124,181.321,192.431,21,7,3,0,2,0.190476,11,25,154,0.233766,0.956522,422,400,"175.595
",6,1,1,0.03,11
2.52229,3.8473,1.5014,0,0,0,0.464138,0.578085,0.333677,0,1.18135,3.09753,1.32713,194.347,274.317,7,15.5098,2.58496,2,2,1,157,0,1.03974,437,604.026,235.72,0,0,60,0,0,96,91,0,0,0.397351,0,0,0.611465,0.602649,0,0,0,0,0,0,-nan,0,0,0,0,-0.854744,1,0.382278,inf,-1.15079,0,0,2,0,0,0,0,0,0,0,0,2.62252,2.61589,1.15263,1.16994,0.536781,0.467961,138,0.944099,1.06698,0.919485,120,173.759,188.824,21,7,3,0,1,0.190476,10,26,151,0.238411,0.961783,396,395,"174.048
",6,1,1,0.03,11
2.44138,3.86025,1.5632,0,0,0,0.440569,0.563583,0.342732,0,1.13665,2.74909,1.34023,174.257,255.357,7,15.5098,2.58496,2,2,1,145,0,1.05072,403,559.736,226.664,0,0,54,0,0,90,84,0,0,0.391304,0,0,0.62069,0.608696,0,0,0,0,0,0,-nan,0,21,8.18644,0.144828,6.59608,7,2.59677,0.333333,2.89429,0,0,2,0,0,0,0,0,0,0,0,2.56522,2.69565,1.19203,1.0895,0.551698,0.47702,126,0.970926,1.037,0.911037,108,158.197,177.216,21,7,3,0,2,0.333333,9,27,138,0.26087,0.951724,354,372,"164.5
",6,1,1,0.03,13
2.43357,3.80577,1.54759,0,0,0,0.42521,0.539552,0.339927,0,1.14423,2.73218,1.30881,171.772,249.931,7,12.9248,2.58496,2,2,1,143,0,1.0438,397,544.226,221.306,0,0,54,0,0,88,83,0,0,0.394161,0,0,0.615385,0.605839,0,0,0,0,0,0,-nan,0,0,0,0,-0.903022,1,0.379501,inf,-1.13212,0,0,2,0,0,0,0,0,0,0,0,2.54015,2.63504,1.17153,1.10739,0.548085,0.487449,125,0.987169,1.06291,0.926843,108,155.027,172.046,21,7,3,0,1,0.333333,8,28,137,0.262774,0.958042,348,361,"160.5
",6,1,1,0.03,11
2.51613,3.79688,1.48606,0,0,0,0.454505,0.559003,0.329012,0,1.20409,3.08324,1.29532,191.821,268.836,7,12.9248,2.58496,2,2,1,155,0,1.04027,431,588.516,230.339,0,0,60,0,0,94,89,0,0,0.402685,0,0,0.606452,0.597315,0,0,0,0,0,0,-nan,0,0,0,0,-0.84751,1,0.389034,inf,-1.15703,0,0,2,0,0,0,0,0,0,0,0,2.61745,2.57047,1.14126,1.17993,0.528048,0.467839,137,0.909391,1.03912,0.881205,120,170.589,183.654,21,7,3,0,1,0.190476,9,27,149,0.241611,0.96129,390,383,"170.048
",6,1,1,0.03,20
2.53247,3.83846,1.49203,0,0,0,0.470176,0.586759,0.33883,0,1.23483,2.97926,1.3323,191.007,267.985,7,15.5098,2.58496,2,2,1,154,0,1.04762,429,591.123,229.772,0,0,59,0,0,94,88,0,0,0.401361,0,0,0.61039,0.598639,0,0,0,0,0,0,-nan,0,21,7.91538,0.136364,5.92543,4,1.51546,0.190476,0.931069,0,0,2,0,0,0,0,0,0,0,0,2.65306,2.63946,1.15849,1.16707,0.553626,0.470833,135,0.848117,1.0043,0.880967,118,171.344,185.361,21,10,4,0,2,0.190476,10,27,147,0.251701,0.954545,390,388,"170.298
",6,1,1,0.03,15
2.74839,4.0587,1.4504,0,0,0,0.432677,0.515408,0.304288,0,1.42455,2.08692,1.29856,211.551,284.941,7,12.9248,2.58496,2,2,1,155,0,1.0473,433,629.098,224.813,0,0,60,0,0,94,88,0,0,0.405405,0,0,0.606452,0.594595,0,0,0,0,0,0,-nan,0,21,7.29577,0.135484,4.84811,4,1.56614,0.190476,1.13413,0,0,2,0,0,0,0,0,0,0,0,2.87838,2.55405,1.11583,1.2986,0.49918,0.44167,137,0.732108,0.967248,0.835291,120,177.713,182.869,21,6,3,0,2,0.190476,11,22,148,0.222973,0.954839,426,378,"165.143
",6,1,1,0.03,11
2.61635,3.87929,1.45652,0,0,0,0.457287,0.550317,0.316141,0,1.30921,2.85503,1.29258,205.022,280.51,7,12.9248,2.58496,2,2,1,159,0,1.04605,443,616.807,231.587,0,0,62,0,0,96,90,0,0,0.407895,0,0,0.603774,0.592105,0,0,0,0,0,0,-nan,0,21,7.67308,0.132075,5.38941,4,1.56701,0.190476,1.11185,0,0,2,0,0,0,0,0,0,0,0,2.73684,2.55263,1.12892,1.23818,0.509971,0.446759,141,0.801741,0.971797,0.817742,124,178.151,187.261,21,7,3,0,2,0.190476,10,26,152,0.236842,0.955975,416,388,"171.595
",6,1,1,0.03,9
