c_avg_deg_cons,c_avg_dom_cons,c_avg_domdeg_cons,c_bounds_d,c_bounds_r,c_bounds_z,c_cv_deg_cons,c_cv_dom_cons,c_cv_domdeg_cons,c_domain,c_ent_deg_cons,c_ent_dom_cons,c_ent_domdeg_cons,c_logprod_deg_cons,c_logprod_dom_cons,c_max_deg_cons,c_max_dom_cons,c_max_domdeg_cons,c_min_deg_cons,c_min_dom_cons,c_min_domdeg_cons,c_num_cons,c_priority,c_ratio_cons,c_sum_ari_cons,c_sum_dom_cons,c_sum_domdeg_cons,d_array_cons,d_bool_cons,d_bool_vars,d_float_cons,d_float_vars,d_int_cons,d_int_vars,d_ratio_array_cons,d_ratio_bool_cons,d_ratio_bool_vars,d_ratio_float_cons,d_ratio_float_vars,d_ratio_int_cons,d_ratio_int_vars,d_ratio_set_cons,d_ratio_set_vars,d_set_cons,d_set_vars,gc_diff_globs,gc_global_cons,gc_ratio_diff,gc_ratio_globs,o_deg,o_deg_avg,o_deg_cons,o_deg_std,o_dom,o_dom_avg,o_dom_deg,o_dom_std,s_bool_search,s_first_fail,s_goal,s_indomain_max,s_indomain_min,s_input_order,s_int_search,s_labeled_vars,s_other_val,s_other_var,s_set_search,v_avg_deg_vars,v_avg_dom_vars,v_avg_domdeg_vars,v_cv_deg_vars,v_cv_dom_vars,v_cv_domdeg_vars,v_def_vars,v_ent_deg_vars,v_ent_dom_vars,v_ent_domdeg_vars,v_intro_vars,v_logprod_deg_vars,v_logprod_dom_vars,v_max_deg_vars,v_max_dom_vars,v_max_domdeg_vars,v_min_deg_vars,v_min_dom_vars,v_min_domdeg_vars,v_num_aliases,v_num_consts,v_num_vars,v_ratio_bounded,v_ratio_vars,v_sum_deg_vars,v_sum_dom_vars,"v_sum_domdeg_vars

",number_of_teams,fixtures_left,number_of_constraints,runtime,fpoints
2.72289,5.11379,1.79157,0,0,0,0.570985,0.732371,0.513381,0,1.35984,3.19072,1.38172,544.206,820.222,9,21,3.36776,2,2,1,415,0,1.02217,1139,2122.22,743.504,0,0,160,0,0,254,246,0,0,0.394089,0,0,0.612048,0.605911,0,0,0,0,0,0,-nan,0,29,10.4195,0.0698795,6.93814,25,8.69007,0.862069,7.98075,0,0,2,0,0,0,0,0,0,0,0,2.78325,2.87685,1.19846,1.35764,0.963577,0.822955,351,1.00362,1.14278,0.529035,320,485.053,518.272,29,25,9,0,2,0.551724,15,48,406,0.155172,0.978313,1130,1168,"486.575
",8,6,1,5.01,13
2.72289,5.10747,1.78957,0,0,0,0.573257,0.733469,0.51287,0,1.36827,3.40378,1.38172,544.066,819.639,9,21,3.36776,2,2,1,415,0,1.02217,1139,2119.6,742.673,0,0,160,0,0,254,246,0,0,0.394089,0,0,0.612048,0.605911,0,0,0,0,0,0,-nan,0,29,10.4195,0.0698795,6.93814,16,5.56164,0.551724,4.70401,0,0,2,0,0,0,0,0,0,0,0,2.78325,2.87685,1.19846,1.35764,0.969735,0.827157,351,1.00362,1.15023,0.562299,320,485.053,518.114,29,25,9,0,2,0.448276,15,53,406,0.167488,0.978313,1130,1168,"486.575
",8,6,1,0.05,10
2.72289,5.10115,1.78757,0,0,0,0.575521,0.734572,0.512358,0,1.35949,3.35116,1.38172,543.925,819.056,9,21,3.36776,2,2,1,415,0,1.02217,1139,2116.98,741.843,0,0,160,0,0,254,246,0,0,0.394089,0,0,0.612048,0.605911,0,0,0,0,0,0,-nan,0,29,10.4195,0.0698795,6.93814,16,5.56164,0.551724,4.67452,0,0,2,0,0,0,0,0,0,0,0,2.78325,2.87685,1.19846,1.35764,0.975853,0.831337,351,1.00362,1.13837,0.580123,320,485.053,517.955,29,25,9,0,2,0.448276,15,53,406,0.167488,0.978313,1130,1168,"486.575
",8,6,1,0.08,17
2.72289,5.0586,1.7739,0,0,0,0.588918,0.741744,0.509453,0,1.36925,3.53591,1.44349,543.013,814.997,10,21,3.53824,2,2,1,415,0,1.02217,1139,2099.32,736.17,0,0,160,0,0,254,246,0,0,0.394089,0,0,0.612048,0.605911,0,0,0,0,0,0,-nan,0,29,10.4195,0.0698795,6.93814,22,7.64726,0.758621,6.56982,0,0,2,0,0,0,0,0,0,0,0,2.78325,2.87685,1.19846,1.35764,1.01179,0.855989,351,1.00362,1.14579,0.573853,320,485.053,516.906,29,28,10,0,2,0.241379,15,57,406,0.17734,0.978313,1130,1168,"486.575
",8,6,1,2.37,3
2.72422,5.11447,1.79218,0,0,0,0.583395,0.74057,0.51079,0,1.38622,3.38186,1.38325,546.161,824.317,10,24,3.48374,2,2,1,417,0,1.02206,1145,2132.74,747.34,0,0,160,0,0,256,248,0,0,0.392157,0,0,0.613909,0.607843,0,0,0,0,0,0,-nan,0,29,10.4155,0.0695444,6.95487,19,6.5473,0.655172,5.65006,0,0,2,0,0,0,0,0,0,0,0,2.78431,2.90196,1.20566,1.3538,0.981813,0.834869,352,1.02204,1.18555,0.600628,320,488.223,523.817,29,28,10,0,2,0.448276,16,62,408,0.191176,0.978417,1136,1184,"491.908
",8,6,1,0.18,14
2.72422,5.06439,1.77607,0,0,0,0.597622,0.748645,0.507565,0,1.34644,3.66102,1.45535,545.088,819.487,11,24,3.53268,2,2,1,417,0,1.02206,1145,2111.85,740.619,0,0,160,0,0,256,248,0,0,0.392157,0,0,0.613909,0.607843,0,0,0,0,0,0,-nan,0,29,10.4155,0.0695444,6.95487,22,7.58108,0.758621,6.45444,0,0,2,0,0,0,0,0,0,0,0,2.78431,2.90196,1.20566,1.3538,1.01962,0.860996,352,1.02204,1.16177,0.587732,342,488.223,522.579,29,31,11,0,2,0.241379,38,65,408,0.252451,0.978417,1136,1184,"491.908
",8,6,1,0.05,10
2.72289,5.10747,1.78957,0,0,0,0.573257,0.733469,0.51287,0,1.36827,3.40378,1.38172,544.066,819.639,9,21,3.36776,2,2,1,415,0,1.02217,1139,2119.6,742.673,0,0,160,0,0,254,246,0,0,0.394089,0,0,0.612048,0.605911,0,0,0,0,0,0,-nan,0,29,10.4195,0.0698795,6.93814,22,7.64726,0.758621,6.85472,0,0,2,0,0,0,0,0,0,0,0,2.78325,2.87685,1.19846,1.35764,0.969735,0.827157,351,1.00362,1.15023,0.562299,320,485.053,518.114,29,25,9,0,2,0.448276,15,53,406,0.167488,0.978313,1130,1168,"486.575
",8,6,1,5.01,11
2.72289,5.11204,1.791,0,0,0,0.570985,0.732457,0.513303,0,1.35945,3.17856,1.38172,544.171,820.051,9,21,3.30629,2,2,1,415,0,1.02217,1139,2121.49,743.266,0,0,160,0,0,254,246,0,0,0.394089,0,0,0.612048,0.605911,0,0,0,0,0,0,-nan,0,29,10.4195,0.0698795,6.93814,19,6.60445,0.655172,5.8163,0,0,2,0,0,0,0,0,0,0,0,2.78325,2.87685,1.19846,1.35764,0.963577,0.822955,351,1.00362,1.1248,0.553654,320,485.053,518.23,29,22,8,0,2,0.448276,15,44,406,0.14532,0.978313,1130,1168,"486.575
",8,6,1,0.74,11
2.72289,5.10571,1.789,0,0,0,0.573257,0.733556,0.512792,0,1.34296,3.02284,1.38172,544.03,819.468,9,21,3.30629,2,2,1,415,0,1.02217,1139,2118.87,742.436,0,0,160,0,0,254,246,0,0,0.394089,0,0,0.612048,0.605911,0,0,0,0,0,0,-nan,0,29,10.4195,0.0698795,6.93814,22,7.64726,0.758621,6.85472,0,0,2,0,0,0,0,0,0,0,0,2.78325,2.87685,1.19846,1.35764,0.969735,0.827157,351,1.00362,1.10547,0.567204,320,485.053,518.071,29,22,8,0,2,0.448276,15,38,406,0.130542,0.978313,1130,1168,"486.575
",8,6,1,0.05,6
2.72289,5.0977,1.7865,0,0,0,0.577775,0.735542,0.511988,0,1.38485,3.40378,1.38172,543.844,818.749,10,21,3.42226,2,2,1,415,0,1.02217,1139,2115.54,741.398,0,0,160,0,0,254,246,0,0,0.394089,0,0,0.612048,0.605911,0,0,0,0,0,0,-nan,0,29,10.4195,0.0698795,6.93814,19,6.60445,0.655172,5.70757,0,0,2,0,0,0,0,0,0,0,0,2.78325,2.87685,1.19846,1.35764,0.981934,0.835496,351,1.00362,1.15023,0.581982,320,485.053,517.867,29,28,10,0,2,0.448276,15,54,406,0.169951,0.978313,1130,1168,"486.575
",8,6,1,0.66,13
