c_avg_deg_cons,c_avg_dom_cons,c_avg_domdeg_cons,c_bounds_d,c_bounds_r,c_bounds_z,c_cv_deg_cons,c_cv_dom_cons,c_cv_domdeg_cons,c_domain,c_ent_deg_cons,c_ent_dom_cons,c_ent_domdeg_cons,c_logprod_deg_cons,c_logprod_dom_cons,c_max_deg_cons,c_max_dom_cons,c_max_domdeg_cons,c_min_deg_cons,c_min_dom_cons,c_min_domdeg_cons,c_num_cons,c_priority,c_ratio_cons,c_sum_ari_cons,c_sum_dom_cons,c_sum_domdeg_cons,d_array_cons,d_bool_cons,d_bool_vars,d_float_cons,d_float_vars,d_int_cons,d_int_vars,d_ratio_array_cons,d_ratio_bool_cons,d_ratio_bool_vars,d_ratio_float_cons,d_ratio_float_vars,d_ratio_int_cons,d_ratio_int_vars,d_ratio_set_cons,d_ratio_set_vars,d_set_cons,d_set_vars,gc_diff_globs,gc_global_cons,gc_ratio_diff,gc_ratio_globs,o_deg,o_deg_avg,o_deg_cons,o_deg_std,o_dom,o_dom_avg,o_dom_deg,o_dom_std,s_bool_search,s_first_fail,s_goal,s_indomain_max,s_indomain_min,s_input_order,s_int_search,s_labeled_vars,s_other_val,s_other_var,s_set_search,v_avg_deg_vars,v_avg_dom_vars,v_avg_domdeg_vars,v_cv_deg_vars,v_cv_dom_vars,v_cv_domdeg_vars,v_def_vars,v_ent_deg_vars,v_ent_dom_vars,v_ent_domdeg_vars,v_intro_vars,v_logprod_deg_vars,v_logprod_dom_vars,v_max_deg_vars,v_max_dom_vars,v_max_domdeg_vars,v_min_deg_vars,v_min_dom_vars,v_min_domdeg_vars,v_num_aliases,v_num_consts,v_num_vars,v_ratio_bounded,v_ratio_vars,v_sum_deg_vars,v_sum_dom_vars,"v_sum_domdeg_vars

",number_of_teams,fixtures_left,number_of_constraints,runtime,fpoints
2.62408,3.95885,1.48445,0,0,0,0.663426,0.751484,0.38146,0,1.13441,2.85164,1.2248,507.658,703.547,11,29.8974,3.32193,2,2,1,407,0,1.02778,1129,1611.25,604.171,0,0,174,0,0,232,222,0,0,0.439394,0,0,0.570025,0.560606,0,0,0,0,0,0,-nan,0,37,13.7191,0.0909091,7.43403,7,2.63498,0.189189,2.08089,0,0,2,0,0,0,0,0,0,0,0,2.69697,2.65657,1.20328,1.71093,0.785712,0.672315,377,0.6111,0.716198,0.593206,414,441.335,478.041,37,10,5,0,2,0.108108,82,36,396,0.29798,0.972973,1068,1052,"476.5
",10,1,1,0.04,24
2.62592,3.98823,1.4939,0,0,0,0.669408,0.770912,0.387642,0,1.12891,2.85984,1.24008,509.948,709.507,11,33.2193,3.32193,2,2,1,409,0,1.02764,1135,1631.18,611.005,0,0,174,0,0,234,224,0,0,0.437186,0,0,0.572127,0.562814,0,0,0,0,0,0,-nan,0,37,13.7114,0.0904645,7.45236,4,1.48507,0.108108,0.608874,0,0,2,0,0,0,0,0,0,0,0,2.69849,2.69347,1.21399,1.70568,0.796675,0.67619,378,0.628682,0.73157,0.611201,425,444.505,484.684,37,10,5,0,2,0.108108,94,35,398,0.324121,0.973105,1074,1072,"483.167
",10,1,1,0.04,20
2.57292,3.94347,1.51169,0,0,0,0.655408,0.752444,0.393279,0,1.10342,3.08526,1.23383,469.388,661.598,11,29.8974,3.32193,2,2,1,384,0,1.02949,1065,1514.29,580.491,0,0,163,0,0,220,210,0,0,0.436997,0,0,0.572917,0.563003,0,0,0,0,0,0,-nan,0,37,13.9686,0.0963542,7.79431,4,1.48016,0.108108,0.599068,0,0,2,0,0,0,0,0,0,0,0,2.64879,2.70241,1.22044,1.66386,0.80151,0.686127,354,0.628894,0.726446,0.620817,381,414.541,454.97,37,10,5,0,2,0.108108,70,41,373,0.297587,0.971354,988,1008,"455.223
",10,1,1,0.04,30
2.57743,3.9149,1.49727,0,0,0,0.660732,0.764923,0.399066,0,1.09716,2.98342,1.26718,465.806,651.246,11,29.8974,3.32193,2,2,1,381,0,1.02973,1057,1491.58,570.458,0,0,162,0,0,218,208,0,0,0.437838,0,0,0.572178,0.562162,0,0,0,0,0,0,-nan,0,37,13.9409,0.0971129,7.76454,4,1.47705,0.108108,0.587605,0,0,2,0,0,0,0,0,0,0,0,2.65405,2.70811,1.2202,1.66667,0.811848,0.693173,351,0.608992,0.740108,0.600486,390,412.126,451.278,37,13,5,0,2,0.108108,81,42,370,0.332432,0.971129,982,1002,"451.473
",10,1,1,0.04,19
2.62408,3.95885,1.48436,0,0,0,0.664501,0.752869,0.381449,0,1.13492,2.85095,1.22456,507.626,703.489,11,29.8974,3.32193,2,2,1,407,0,1.02778,1129,1611.25,604.136,0,0,174,0,0,232,222,0,0,0.439394,0,0,0.570025,0.560606,0,0,0,0,0,0,-nan,0,37,13.7191,0.0909091,7.43403,4,1.5057,0.108108,0.643625,0,0,2,0,0,0,0,0,0,0,0,2.69697,2.65657,1.20328,1.71093,0.785712,0.672315,377,0.6111,0.716198,0.593206,425,441.335,478.041,37,10,5,0,2,0.108108,93,36,396,0.325758,0.972973,1068,1052,"476.5
",10,1,1,0.04,26
2.57292,3.94347,1.51169,0,0,0,0.655408,0.752444,0.393279,0,1.10342,3.08526,1.23383,469.388,661.598,11,29.8974,3.32193,2,2,1,384,0,1.02949,1065,1514.29,580.491,0,0,163,0,0,220,210,0,0,0.436997,0,0,0.572917,0.563003,0,0,0,0,0,0,-nan,0,37,13.9686,0.0963542,7.79431,4,1.48016,0.108108,0.599068,0,0,2,0,0,0,0,0,0,0,0,2.64879,2.70241,1.22044,1.66386,0.80151,0.686127,354,0.628894,0.726446,0.620817,381,414.541,454.97,37,10,5,0,2,0.108108,70,41,373,0.297587,0.971354,988,1008,"455.223
",10,1,1,0.04,22
2.76235,4.09866,1.45528,0,0,0,0.660081,0.75138,0.374378,0,1.23042,2.44081,1.23433,560.54,755.845,11,33.2193,3.32193,2,2,1,425,0,1.02657,1181,1741.93,618.492,0,0,182,0,0,242,232,0,0,0.439614,0,0,0.569412,0.560386,0,0,0,0,0,0,-nan,0,37,13.0477,0.0870588,6.69741,4,1.50545,0.108108,0.642421,0,0,2,0,0,0,0,0,0,0,0,2.83575,2.657,1.19377,1.79886,0.786796,0.669552,394,0.573502,0.707744,0.600429,474,469.264,499.9,37,10,5,0,2,0.108108,129,33,414,0.391304,0.974118,1174,1100,"494.221
",10,1,1,0.05,27
2.62592,3.98823,1.4939,0,0,0,0.669408,0.770912,0.387642,0,1.12891,2.85984,1.24008,509.948,709.507,11,33.2193,3.32193,2,2,1,409,0,1.02764,1135,1631.18,611.005,0,0,174,0,0,234,224,0,0,0.437186,0,0,0.572127,0.562814,0,0,0,0,0,0,-nan,0,37,13.7114,0.0904645,7.45236,7,2.59888,0.189189,2.00694,0,0,2,0,0,0,0,0,0,0,0,2.69849,2.69347,1.21399,1.70568,0.796675,0.67619,378,0.628682,0.73157,0.611201,425,444.505,484.684,37,10,5,0,2,0.108108,94,35,398,0.324121,0.973105,1074,1072,"483.167
",10,1,1,0.04,19
2.57743,3.9149,1.49742,0,0,0,0.658936,0.762688,0.39909,0,1.09748,2.98374,1.2675,465.862,651.342,11,29.8974,3.32193,2,2,1,381,0,1.02695,1057,1491.58,570.517,0,0,162,0,0,218,209,0,0,0.436658,0,0,0.572178,0.563342,0,0,0,0,0,0,-nan,0,0,0,0,-0.598898,1,0.36989,inf,-0.775239,0,0,2,0,0,0,0,0,0,0,0,2.6469,2.7035,1.21691,1.66973,0.812794,0.696054,351,0.63424,0.765003,0.625757,379,412.126,451.278,37,13,5,0,1,0.108108,70,42,371,0.301887,0.973753,982,1003,"451.473
",10,1,1,0.04,22
2.63054,3.97438,1.48596,0,0,0,0.671442,0.776979,0.391626,0,1.15925,2.94423,1.24158,506.608,701.465,11,33.2193,3.32193,2,2,1,406,0,1.02525,1127,1613.6,603.301,0,0,173,0,0,232,223,0,0,0.436869,0,0,0.571429,0.563131,0,0,0,0,0,0,-nan,0,0,0,0,-0.584408,1,0.371134,inf,-0.783099,0,0,2,0,0,0,0,0,0,0,0,2.69697,2.69444,1.21065,1.71113,0.803048,0.683056,375,0.632592,0.736617,0.64332,423,442.09,481.222,37,10,5,0,1,0.108108,94,39,396,0.335859,0.975369,1068,1067,"479.417
",10,1,1,0.04,19
2.57292,3.94228,1.5111,0,0,0,0.657206,0.753835,0.392502,0,1.1031,3.10853,1.23354,469.332,661.428,11,29.7453,3.32193,2,2,1,384,0,1.02949,1065,1513.84,580.263,0,0,163,0,0,220,210,0,0,0.436997,0,0,0.572917,0.563003,0,0,0,0,0,0,-nan,0,37,13.9686,0.0963542,7.79431,4,1.48163,0.108108,0.602651,0,0,2,0,0,0,0,0,0,0,0,2.64879,2.69973,1.21954,1.66386,0.799183,0.684924,354,0.628894,0.743271,0.620817,392,414.541,454.818,37,10,5,0,2,0.108108,81,41,373,0.327078,0.971354,988,1007,"454.89
",10,1,2,0.04,23
2.63054,3.97325,1.48555,0,0,0,0.671442,0.77615,0.390875,0,1.15925,2.96733,1.24158,506.608,701.392,11,33.0673,3.32193,2,2,1,406,0,1.02525,1127,1613.14,603.134,0,0,173,0,0,232,223,0,0,0.436869,0,0,0.571429,0.563131,0,0,0,0,0,0,-nan,0,0,0,0,-0.584408,1,0.371482,inf,-0.784819,0,0,2,0,0,0,0,0,0,0,0,2.69697,2.69192,1.20981,1.71113,0.800844,0.681883,375,0.632592,0.752711,0.64332,423,442.09,481.07,37,10,5,0,1,0.108108,94,39,396,0.335859,0.975369,1068,1066,"479.083
",10,1,2,0.04,26
2.57513,3.95663,1.51495,0,0,0,0.662164,0.761137,0.391391,0,1.08951,3.09323,1.23325,471.677,666.213,11,30.8974,3.32193,2,2,1,386,0,1.0266,1071,1527.26,584.77,0,0,163,0,0,222,213,0,0,0.433511,0,0,0.57513,0.566489,0,0,0,0,0,0,-nan,0,0,0,0,-0.601944,1,0.368266,inf,-0.782602,0,0,2,0,0,0,0,0,0,0,0,2.64362,2.71543,1.22134,1.66128,0.807222,0.691004,355,0.672204,0.7575,0.653994,392,417.711,459.292,37,10,5,0,1,0.108108,82,40,376,0.324468,0.974093,994,1021,"459.223
",10,1,2,0.04,24
2.63054,3.97325,1.48555,0,0,0,0.671442,0.77615,0.390875,0,1.15925,2.96733,1.24158,506.608,701.392,11,33.0673,3.32193,2,2,1,406,0,1.02785,1127,1613.14,603.134,0,0,173,0,0,232,222,0,0,0.437975,0,0,0.571429,0.562025,0,0,0,0,0,0,-nan,0,37,13.6845,0.091133,7.42549,4,1.48357,0.108108,0.604491,0,0,2,0,0,0,0,0,0,0,0,2.7038,2.6962,1.21287,1.70823,0.799959,0.679165,375,0.6087,0.729122,0.619454,423,442.09,481.07,37,10,5,0,2,0.108108,94,39,395,0.336709,0.972906,1068,1065,"479.083
",10,1,2,0.04,21
2.57513,3.97349,1.52113,0,0,0,0.662164,0.772286,0.398146,0,1.08951,3.1167,1.24955,471.677,667.485,11,33.0673,3.32193,2,2,1,386,0,1.0266,1071,1533.77,587.157,0,0,163,0,0,222,213,0,0,0.433511,0,0,0.57513,0.566489,0,0,0,0,0,0,-nan,0,0,0,0,-0.601944,1,0.365759,inf,-0.782723,0,0,2,0,0,0,0,0,0,0,0,2.64362,2.73404,1.22754,1.66128,0.810301,0.691149,355,0.672204,0.783547,0.664548,392,417.711,461.462,37,10,5,0,1,0.108108,82,40,376,0.324468,0.974093,994,1028,"461.556
",10,1,2,0.06,28
2.57513,3.95663,1.51495,0,0,0,0.662164,0.761137,0.391391,0,1.08951,3.09323,1.23325,471.677,666.213,11,30.8974,3.32193,2,2,1,386,0,1.02933,1071,1527.26,584.77,0,0,163,0,0,222,212,0,0,0.434667,0,0,0.57513,0.565333,0,0,0,0,0,0,-nan,0,37,13.9588,0.0958549,7.81462,4,1.47059,0.108108,0.583654,0,0,2,0,0,0,0,0,0,0,0,2.65067,2.72,1.22459,1.65827,0.806279,0.688155,355,0.647342,0.732866,0.629084,392,417.711,459.292,37,10,5,0,2,0.108108,82,40,375,0.325333,0.971503,994,1020,"459.223
",10,1,2,0.04,23
2.62871,3.94359,1.47599,0,0,0,0.665471,0.756712,0.384568,0,1.16496,2.95886,1.22624,504.318,695.431,11,29.7453,3.32193,2,2,1,404,0,1.02538,1121,1593.21,596.298,0,0,173,0,0,230,221,0,0,0.439086,0,0,0.569307,0.560914,0,0,0,0,0,0,-nan,0,0,0,0,-0.582604,1,0.376673,inf,-0.789029,0,0,2,0,0,0,0,0,0,0,0,2.69543,2.65482,1.19903,1.71643,0.789992,0.678058,374,0.61529,0.737405,0.624736,412,438.92,474.426,37,10,5,0,1,0.108108,82,40,394,0.309645,0.975248,1062,1046,"472.417
",10,1,2,0.04,18
2.68735,3.9801,1.45435,0,0,0,0.664475,0.737553,0.365157,0,1.18494,2.75256,1.20391,536.123,728.844,11,27.5754,3.32193,2,2,1,419,0,1.02696,1163,1667.66,609.372,0,0,180,0,0,238,228,0,0,0.441176,0,0,0.568019,0.558824,0,0,0,0,0,0,-nan,0,37,13.4067,0.0883055,7.05642,4,1.53096,0.108108,0.687584,0,0,2,0,0,0,0,0,0,0,0,2.7598,2.61275,1.18471,1.75822,0.772206,0.664802,389,0.582596,0.692242,0.573119,437,457.715,487.326,37,10,5,0,2,0.108108,94,35,408,0.316176,0.973747,1126,1066,"483.36
",10,1,2,0.04,28
2.56883,3.92895,1.51025,0,0,0,0.652729,0.729516,0.38266,0,1.07034,2.84069,1.21523,470.502,663.859,11,26.5754,3.32193,2,2,1,385,0,1.02667,1067,1512.64,581.448,0,0,164,0,0,220,211,0,0,0.437333,0,0,0.571429,0.562667,0,0,0,0,0,0,-nan,0,37,14.0293,0.0961039,7.81364,4,1.50754,0.108108,0.649736,0,0,2,0,0,0,0,0,0,0,0,2.63733,2.65333,1.21015,1.66751,0.781144,0.672707,357,0.642279,0.736136,0.618307,394,413.786,452.637,37,10,5,0,2,0.108108,80,38,375,0.314667,0.974026,989,995,"453.806
",10,1,2,0.04,26
2.63342,3.91644,1.46278,0,0,0,0.66967,0.767455,0.389176,0,1.16188,2.65979,1.22749,500.76,685.403,11,29.7453,3.32193,2,2,1,401,0,1.02821,1113,1570.49,586.574,0,0,172,0,0,228,218,0,0,0.441026,0,0,0.568579,0.558974,0,0,0,0,0,0,-nan,0,37,13.6648,0.0922693,7.37999,4,1.50144,0.108108,0.627252,0,0,2,0,0,0,0,0,0,0,0,2.70769,2.6641,1.20171,1.7161,0.79943,0.682225,371,0.568297,0.720802,0.58093,421,436.505,470.734,37,13,5,0,2,0.108108,93,38,390,0.335897,0.972569,1056,1039,"468.667
",10,1,2,0.04,21
2.69378,4.00849,1.46114,0,0,0,0.67177,0.769142,0.381707,0,1.21115,2.59146,1.23682,535.072,728.103,11,32.7453,3.32193,2,2,1,418,0,1.02703,1161,1675.55,610.755,0,0,179,0,0,238,228,0,0,0.439803,0,0,0.569378,0.560197,0,0,0,0,0,0,-nan,0,37,13.3739,0.0885167,7.04844,4,1.50046,0.108108,0.633955,0,0,2,0,0,0,0,0,0,0,0,2.76658,2.66585,1.19888,1.75555,0.789427,0.671743,387,0.575991,0.719728,0.609109,446,458.47,492.355,37,10,5,0,2,0.108108,106,35,407,0.346437,0.973684,1126,1085,"487.944
",10,1,3,0.04,23
