c_avg_deg_cons,c_avg_dom_cons,c_avg_domdeg_cons,c_bounds_d,c_bounds_r,c_bounds_z,c_cv_deg_cons,c_cv_dom_cons,c_cv_domdeg_cons,c_domain,c_ent_deg_cons,c_ent_dom_cons,c_ent_domdeg_cons,c_logprod_deg_cons,c_logprod_dom_cons,c_max_deg_cons,c_max_dom_cons,c_max_domdeg_cons,c_min_deg_cons,c_min_dom_cons,c_min_domdeg_cons,c_num_cons,c_priority,c_ratio_cons,c_sum_ari_cons,c_sum_dom_cons,c_sum_domdeg_cons,d_array_cons,d_bool_cons,d_bool_vars,d_float_cons,d_float_vars,d_int_cons,d_int_vars,d_ratio_array_cons,d_ratio_bool_cons,d_ratio_bool_vars,d_ratio_float_cons,d_ratio_float_vars,d_ratio_int_cons,d_ratio_int_vars,d_ratio_set_cons,d_ratio_set_vars,d_set_cons,d_set_vars,gc_diff_globs,gc_global_cons,gc_ratio_diff,gc_ratio_globs,o_deg,o_deg_avg,o_deg_cons,o_deg_std,o_dom,o_dom_avg,o_dom_deg,o_dom_std,s_bool_search,s_first_fail,s_goal,s_indomain_max,s_indomain_min,s_input_order,s_int_search,s_labeled_vars,s_other_val,s_other_var,s_set_search,v_avg_deg_vars,v_avg_dom_vars,v_avg_domdeg_vars,v_cv_deg_vars,v_cv_dom_vars,v_cv_domdeg_vars,v_def_vars,v_ent_deg_vars,v_ent_dom_vars,v_ent_domdeg_vars,v_intro_vars,v_logprod_deg_vars,v_logprod_dom_vars,v_max_deg_vars,v_max_dom_vars,v_max_domdeg_vars,v_min_deg_vars,v_min_dom_vars,v_min_domdeg_vars,v_num_aliases,v_num_consts,v_num_vars,v_ratio_bounded,v_ratio_vars,v_sum_deg_vars,v_sum_dom_vars,"v_sum_domdeg_vars

",number_of_teams,fixtures_left,number_of_constraints,runtime,min_num_losses
2.50314,3.75903,1.47765,0,0,0,0.450008,0.559077,0.329144,0,1.17503,3.08796,1.28926,195.862,273.631,7,12.9248,2.58496,2,2,1,159,0,1.03922,441,597.686,234.947,0,0,62,0,0,96,91,0,0,0.405229,0,0,0.603774,0.594771,0,0,0,0,0,0,-nan,0,0,0,0,-0.85068,1,0.391304,inf,-1.15865,0,0,3,0,0,0,0,0,0,0,0,2.60131,2.55556,1.14737,1.17553,0.52535,0.468722,141,0.978113,1.02,0.910855,124,173.419,187.654,21,7,3,0,1,0.190476,9,27,153,0.235294,0.962264,398,391,"175.548
",6,1,1,0.02,0
2.50633,3.73018,1.46387,0,0,0,0.455022,0.568664,0.333866,0,1.21718,2.97667,1.29112,194.522,269.669,7,12.9248,2.58496,2,2,1,158,0,1.04636,438,589.368,231.291,0,0,62,0,0,95,89,0,0,0.410596,0,0,0.601266,0.589404,0,0,0,0,0,0,-nan,0,1,0.381313,0.00632911,-0.528447,4,1.5567,4,1.02687,0,0,3,0,0,0,0,0,0,0,0,2.62252,2.56954,1.15594,1.17076,0.542132,0.471962,140,0.931835,0.948139,0.88623,124,172.419,186.191,21,10,4,0,2,0.190476,9,28,151,0.245033,0.955696,396,388,"174.548
",6,1,1,0.02,3
2.59172,3.85004,1.45631,0,0,0,0.464408,0.574902,0.322006,0,1.24355,2.89415,1.30895,215.507,295.417,7,15.5098,2.58496,2,2,1,169,0,1.04321,469,650.657,246.116,0,0,66,0,0,102,96,0,0,0.407407,0,0,0.60355,0.592593,0,0,0,0,0,0,-nan,0,1,0.369863,0.00591716,-0.51604,2,0.778846,2,-0.429101,0,0,3,0,0,0,0,0,0,0,0,2.7037,2.5679,1.15182,1.2211,0.515388,0.450952,150,0.990439,0.96596,0.907029,132,186.981,200.431,21,7,3,0,2,0.190476,11,25,162,0.222222,0.95858,438,416,"186.595
",6,1,1,0.03,1
2.50932,3.80867,1.49258,0,0,0,0.461844,0.580265,0.333875,0,1.16269,3.09987,1.31969,198.347,279.057,7,15.5098,2.58496,2,2,1,161,0,1.03871,447,613.196,240.305,0,0,62,0,0,98,93,0,0,0.4,0,0,0.608696,0.6,0,0,0,0,0,0,-nan,0,0,0,0,-0.857821,1,0.384615,inf,-1.15161,0,0,3,0,0,0,0,0,0,0,0,2.60645,2.6,1.15837,1.16574,0.534369,0.468686,142,1.01464,1.04787,0.945138,124,176.589,192.824,21,7,3,0,1,0.190476,10,26,155,0.232258,0.962733,404,403,"179.548
",6,1,1,0.03,0
2.44138,3.86025,1.5632,0,0,0,0.440569,0.563583,0.342732,0,1.13665,2.74909,1.34023,174.257,255.357,7,15.5098,2.58496,2,2,1,145,0,1.05072,403,559.736,226.664,0,0,54,0,0,90,84,0,0,0.391304,0,0,0.62069,0.608696,0,0,0,0,0,0,-nan,0,1,0.389831,0.00689655,-0.560044,3,1.1129,3,0.204647,0,0,3,0,0,0,0,0,0,0,0,2.56522,2.69565,1.19203,1.0895,0.551698,0.47702,126,0.970926,1.037,0.911037,108,158.197,177.216,21,7,3,0,2,0.333333,9,27,138,0.26087,0.951724,354,372,"164.5
",6,1,1,0.03,2
2.43357,3.80577,1.54759,0,0,0,0.42521,0.539552,0.339927,0,1.14423,2.73218,1.30881,171.772,249.931,7,12.9248,2.58496,2,2,1,143,0,1.0438,397,544.226,221.306,0,0,54,0,0,88,83,0,0,0.394161,0,0,0.615385,0.605839,0,0,0,0,0,0,-nan,0,0,0,0,-0.903022,1,0.379501,inf,-1.13212,0,0,3,0,0,0,0,0,0,0,0,2.54015,2.63504,1.17153,1.10739,0.548085,0.487449,125,0.987169,1.06291,0.926843,108,155.027,172.046,21,7,3,0,1,0.333333,8,28,137,0.262774,0.958042,348,361,"160.5
",6,1,1,0.02,0
2.50314,3.75903,1.47751,0,0,0,0.452233,0.561132,0.329081,0,1.18479,3.0855,1.28767,195.821,273.576,7,12.9248,2.58496,2,2,1,159,0,1.03922,441,597.686,234.924,0,0,62,0,0,96,91,0,0,0.405229,0,0,0.603774,0.594771,0,0,0,0,0,0,-nan,0,0,0,0,-0.85068,1,0.391304,inf,-1.15865,0,0,3,0,0,0,0,0,0,0,0,2.60131,2.55556,1.14737,1.17553,0.52535,0.468722,141,0.978113,1.02,0.910855,124,173.419,187.654,21,7,3,0,1,0.190476,9,27,153,0.235294,0.962264,398,391,"175.548
",6,1,1,0.02,0
2.5125,3.78049,1.47906,0,0,0,0.466682,0.589811,0.338801,0,1.20397,2.98994,1.3216,197.007,275.096,7,15.5098,2.58496,2,2,1,160,0,1.04575,444,604.878,236.65,0,0,62,0,0,97,91,0,0,0.405229,0,0,0.60625,0.594771,0,0,0,0,0,0,-nan,0,1,0.380597,0.00625,-0.5335,2,0.765,2,-0.427335,0,0,3,0,0,0,0,0,0,0,0,2.62745,2.61438,1.16698,1.16102,0.54992,0.471644,141,0.969203,0.977069,0.919636,124,175.589,191.361,21,10,4,0,2,0.190476,10,27,153,0.24183,0.95625,402,400,"178.548
",6,1,1,0.03,1
2.69461,3.93178,1.42855,0,0,0,0.431168,0.525915,0.303914,0,1.38487,2.20794,1.28045,223.551,299.162,7,12.9248,2.58496,2,2,1,167,0,1.04375,463,656.608,238.567,0,0,66,0,0,100,94,0,0,0.4125,0,0,0.598802,0.5875,0,0,0,0,0,0,-nan,0,1,0.355556,0.00598802,-0.500253,2,0.79602,2,-0.415032,0,0,3,0,0,0,0,0,0,0,0,2.8125,2.5125,1.13527,1.28824,0.491481,0.447954,149,1.01187,0.916431,0.916431,132,186.204,194.869,21,6,3,0,2,0.190476,11,22,160,0.20625,0.958084,450,402,"181.643
",6,1,1,0.03,1
2.58683,3.80328,1.44166,0,0,0,0.454152,0.555162,0.315809,0,1.27495,2.88024,1.27901,213.022,289.99,7,12.9248,2.58496,2,2,1,167,0,1.04375,463,635.147,240.757,0,0,66,0,0,100,94,0,0,0.4125,0,0,0.598802,0.5875,0,0,0,0,0,0,-nan,0,1,0.37037,0.00598802,-0.511756,2,0.792079,2,-0.411923,0,0,3,0,0,0,0,0,0,0,0,2.7,2.525,1.14122,1.23033,0.504756,0.450281,149,0.954401,0.937481,0.875553,132,183.811,195.261,21,7,3,0,2,0.190476,10,26,160,0.225,0.958084,432,404,"182.595
",6,1,1,0.03,1
