number_of_teams,fixtures_left,number_of_constraints,runtime
4,4,1,0.05131
4,4,1,0.062239
4,4,1,0.055547
4,4,1,0.044856
4,4,1,0.046182
4,4,1,0.068962
4,4,1,0.085395
4,4,1,0.051
4,4,1,0.064989
4,4,1,0.057192
4,4,2,0.047277
4,4,2,0.056477
4,4,2,0.056615
4,4,2,0.065344
4,4,2,0.054829
4,4,2,0.046182
4,4,2,0.051235
4,4,2,0.058372
4,4,2,0.05646
4,4,2,0.059513
4,4,3,0.058374
4,4,3,0.048078
4,4,3,0.067488
4,4,3,0.065825
4,4,3,0.046565
4,4,3,0.059923
4,4,3,0.05512
4,4,3,0.051259
4,4,3,0.051128
4,4,3,0.049891
4,4,1,0.045913
4,4,1,0.050604
4,4,1,0.048115
4,4,1,0.047475
4,4,1,0.048358
4,4,1,0.050447
4,4,1,0.049236
4,4,1,0.049194
4,4,1,0.050396
4,4,1,0.052902
4,4,2,0.058074
4,4,2,0.051089
4,4,2,0.052049
4,4,2,0.04676
4,4,2,0.048037
4,4,2,0.04628
4,4,2,0.047812
4,4,2,0.046827
4,4,2,0.048581
4,4,2,0.046761
4,4,3,0.048344
4,4,3,0.046315
4,4,3,0.048914
4,4,3,0.047251
4,4,3,0.049765
4,4,3,0.047265
4,4,3,0.048447
4,4,3,0.048172
4,4,3,0.049387
4,4,3,0.045349
4,4,1,0.045671
4,4,1,0.048613
4,4,1,0.046478
4,4,1,0.047824
4,4,1,0.046312
4,4,1,0.050664
4,4,1,0.047976
4,4,1,0.049283
4,4,1,0.048676
4,4,1,0.048218
4,4,2,0.045011
4,4,2,0.048807
4,4,2,0.046837
4,4,2,0.048569
4,4,2,0.046932
4,4,2,0.048204
4,4,2,0.046318
4,4,2,0.048176
4,4,2,0.046028
4,4,2,0.048968
4,4,3,0.046407
4,4,3,0.048044
4,4,3,0.046829
4,4,3,0.048935
4,4,3,0.045699
4,4,3,0.048583
4,4,3,0.046288
4,4,3,0.048753
4,4,3,0.047278
4,4,3,0.049242
4,4,1,0.045206
4,4,1,0.051888
4,4,1,0.047856
4,4,1,0.052266
4,4,1,0.050942
4,4,1,0.051244
4,4,1,0.048809
4,4,1,0.049347
4,4,1,0.048
4,4,1,0.049044
4,4,2,0.047791
4,4,2,0.048834
4,4,2,0.047091
4,4,2,0.048102
4,4,2,0.046294
4,4,2,0.04794
4,4,2,0.046669
4,4,2,0.050419
4,4,2,0.046108
4,4,2,0.049257
4,4,3,0.046401
4,4,3,0.047554
4,4,3,0.047497
4,4,3,0.04821
4,4,3,0.046457
4,4,3,0.049026
4,4,3,0.04703
4,4,3,0.04803
4,4,3,0.045854
4,4,3,0.047086
4,4,1,0.04711
4,4,1,0.051976
4,4,1,0.0517
4,4,1,0.04769
4,4,1,0.04835
4,4,1,0.050174
4,4,1,0.04746
4,4,1,0.049052
4,4,1,0.048034
4,4,1,0.048224
4,4,2,0.046278
4,4,2,0.04968
4,4,2,0.046421
4,4,2,0.048471
4,4,2,0.045998
4,4,2,0.047465
4,4,2,0.046858
4,4,2,0.048515
4,4,2,0.047167
4,4,2,0.048984
4,4,3,0.046968
4,4,3,0.047449
4,4,3,0.046785
4,4,3,0.048524
4,4,3,0.046678
4,4,3,0.049842
4,4,3,0.048128
4,4,3,0.047708
4,4,3,0.046011
4,4,3,0.048251
4,4,1,0.045547
4,4,1,0.051042
4,4,1,0.04769
4,4,1,0.048585
4,4,1,0.048065
4,4,1,0.049882
4,4,1,0.047722
4,4,1,0.048533
4,4,1,0.049951
4,4,1,0.049081
4,4,2,0.046147
4,4,2,0.047754
4,4,2,0.04661
4,4,2,0.047858
4,4,2,0.045812
4,4,2,0.046711
4,4,2,0.046981
4,4,2,0.047341
4,4,2,0.046373
4,4,2,0.048689
4,4,3,0.048536
4,4,3,0.047594
4,4,3,0.047377
4,4,3,0.047234
4,4,3,0.046237
4,4,3,0.048869
4,4,3,0.048958
4,4,3,0.049421
4,4,3,0.046227
4,4,3,0.04705
4,4,1,0.055701
4,4,1,0.053036
4,4,1,0.051436
4,4,1,0.049225
4,4,1,0.048272
4,4,1,0.048837
4,4,1,0.049264
4,4,1,0.048848
4,4,1,0.048384
4,4,1,0.048327
4,4,2,0.045866
4,4,2,0.049731
4,4,2,0.048368
4,4,2,0.048864
4,4,2,0.046988
4,4,2,0.046714
4,4,2,0.046904
4,4,2,0.047842
4,4,2,0.046466
4,4,2,0.048981
4,4,3,0.04652
4,4,3,0.047016
4,4,3,0.047767
4,4,3,0.04784
4,4,3,0.046162
4,4,3,0.048377
4,4,3,0.047322
4,4,3,0.046581
4,4,3,0.046323
4,4,3,0.047706
4,4,1,0.045524
4,4,1,0.050741
4,4,1,0.047238
4,4,1,0.048146
4,4,1,0.046391
4,4,1,0.049833
4,4,1,0.048615
4,4,1,0.048572
4,4,1,0.048561
4,4,1,0.048108
4,4,2,0.046923
4,4,2,0.048422
4,4,2,0.047367
4,4,2,0.048364
4,4,2,0.047003
4,4,2,0.047649
4,4,2,0.047315
4,4,2,0.048189
4,4,2,0.046365
4,4,2,0.049195
4,4,3,0.045935
4,4,3,0.047375
